name,short_description,genres,release_date,developer,publisher,overall_player_rating,release_year,overall_player_rating_normalized
UFO 50,"ufo 50 is a collection of 50 single and multiplayer games that span a variety of genres, from platformers and shoot 'em ups to puzzle games, roguelites, and rpgs. our goal is to combine a familiar 8-bit aesthetic with new ideas and modern game design.","['indie', 'action', 'pixel graphics', 'retro', 'strategy', 'adventure', 'rpg', '2d', 'casual', 'arcade']",2024-09-18,['Mossmouth'],['Mossmouth'],4.0,2024.0,0.8
FINAL FANTASY VII REMAKE INTERGRADE,"cloud strife, an ex-soldier operative, descends on the mako-powered city of midgar. the world of the timeless classic final fantasy vii is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring yuffie kisaragi.","['rpg', 'action rpg', 'jrpg', 'action-adventure', 'singleplayer', 'party-based rpg', 'spectacle fighter', 'third person', 'action', 'controller', 'adventure', '3d', 'fantasy', '3d platformer', 'magic', 'story rich', 'realistic', 'cinematic', 'drama', 'sci-fi']",2022-06-17,['Square Enix'],['Square Enix'],4.0,2022.0,0.8
Gunfire Reborn,"gunfire reborn is a level-based adventure game featuring fps, roguelite and rpg. players can control heroes with various abilities to experience diverse build gameplay, use various weapons to explore procedurally-generated levels. you can play the game alone, or join 4-player coop.","['roguelite', 'fps', 'online co-op', 'roguelike', 'co-op', 'multiplayer', 'looter shooter', 'indie', 'action', 'rpg', 'adventure', 'shooter', 'action roguelike', 'first-person', 'dungeon crawler', 'replay value', 'singleplayer', 'early access', 'fast-paced', 'loot']",2021-11-17,['Duoyi Games'],['Duoyi Games'],4.0,2021.0,0.8
Core Keeper,"explore a vast cavern of creatures, relics and resources in a mining sandbox adventure for 1-8 players. mine, build, fight, craft and farm to unravel the mystery of the ancient core.","['pixel graphics', 'online co-op', 'open world survival craft', 'sandbox', 'survival', 'adventure', 'crafting', '2d', 'exploration', 'building', 'mining', 'dungeon crawler', 'procedural generation', 'farming sim', 'relaxing', 'cooking', 'simulation', 'atmospheric', 'mystery', 'casual']",2024-08-27,['Pugstorm'],['Fireshine Games'],4.0,2024.0,0.8
STAR WARS Jedi: Survivor™,"the story of cal kestis continues in star wars jedi: survivor™, a galaxy-spanning, third-person, action-adventure game.","['action', 'adventure', 'singleplayer', 'third person', 'souls-like', 'sci-fi', 'open world', 'action-adventure', 'story rich', 'space', 'swordplay', 'parkour', 'exploration', 'combat', 'character customization', 'rpg', 'atmospheric', 'great soundtrack', 'difficult', 'multiplayer']",2023-04-27,['Respawn'],['Electronic Arts'],2.0,2023.0,0.4
DEATH STRANDING DIRECTOR'S CUT,"from legendary game creator hideo kojima comes a genre-defying experience, now expanded in this definitive director’s cut. as sam bridges, your mission is to deliver hope to humanity by connecting the last survivors of a decimated america. can you reunite the shattered world, one step at a time?","['story rich', 'open world', 'walking simulator', 'atmospheric', 'adventure', 'exploration', 'great soundtrack', 'post-apocalyptic', 'singleplayer', 'cinematic', 'action', 'third person', 'sci-fi', 'horror', 'action-adventure', 'relaxing', 'multiplayer', 'stealth', 'combat', 'third-person shooter']",2022-03-30,['KOJIMA PRODUCTIONS'],['505 Games'],4.0,2022.0,0.8
Palworld,"fight, farm, build and work alongside mysterious creatures called ""pals"" in this completely new multiplayer, open world survival and crafting game!","['open world', 'multiplayer', 'survival', 'creature collector', 'open world survival craft', 'crafting', 'co-op', 'adventure', 'sandbox', 'third-person shooter', 'automation', 'action', 'rpg', 'early access', 'anime', 'pve', '3d', 'indie', 'looter shooter', 'hack and slash']",2024-01-18,['Pocketpair'],['Pocketpair'],4.0,2024.0,0.8
Little Nightmares II,"little nightmares ii is a suspense adventure game in which you play as mono, a young boy trapped in a world that has been distorted by an evil transmission. together with new friend six, he sets out to discover the source of the transmission.","['horror', 'adventure', 'singleplayer', 'puzzle', 'dark', 'atmospheric', 'psychological horror', 'story rich', 'stealth', 'action-adventure', 'puzzle platformer', 'multiplayer', 'indie', 'platformer', 'great soundtrack', '2.5d', 'thriller', 'action', 'co-op', 'violent']",2021-02-10,['Tarsier Studios'],['BANDAI NAMCO Entertainment'],4.0,2021.0,0.8
Little Nightmares,серія little nightmares захопила мільйони гравців по всьому світу з 2017 року. тепер ваша черга спробувати вижити в першій частині найчарівнішої серії жахів.,"['horror', 'atmospheric', 'adventure', 'singleplayer', 'puzzle platformer', 'dark', 'puzzle', 'indie', 'story rich', 'stealth', 'platformer', 'psychological horror', 'great soundtrack', '2.5d', 'third person', 'survival horror', 'female protagonist', 'short', 'action', 'strategy']",2017-04-27,['Tarsier Studios'],['BANDAI NAMCO Entertainment'],4.0,2017.0,0.8
Sonic Frontiers,experience sonic like never before!,"['great soundtrack', 'open world', 'adventure', '3d platformer', 'action', 'exploration', 'singleplayer', 'action-adventure', 'fast-paced', '3d', 'third person', 'platformer', 'story rich', 'combat', 'lore-rich', 'colorful', 'fantasy', 'action rpg', 'comedy', 'mature']",2022-11-07,['Sonic Team'],['SEGA'],4.0,2022.0,0.8
