name,short_description,genres,release_date,developer,publisher,overall_player_rating,release_year,overall_player_rating_normalized
7 Days to Die,"7 days to die is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. play the definitive zombie survival sandbox rpg that came first. navezgane awaits!","['survival', 'zombies', 'multiplayer', 'open world', 'open world survival craft', 'base building', 'voxel', 'post-apocalyptic', 'online co-op', 'building', 'exploration', 'sandbox', 'fps', 'simulation', 'character customization', 'strategy', 'tower defense', 'action', 'procedural generation', 'horror']",2024-07-25,['The Fun Pimps'],['The Fun Pimps Entertainment LLC'],4.0,2024.0,0.8
Garry's Mod,garry's mod is a physics sandbox. there aren't any predefined aims or goals. we give you the tools and leave you to play.,"['sandbox', 'moddable', 'multiplayer', 'physics', 'building', 'casual', 'funny', 'first-person', 'singleplayer', 'fps', 'simulation', 'online co-op', 'co-op', 'shooter', 'comedy', 'action', 'indie', 'pvp', 'realistic', 'exploration']",2006-11-29,['Facepunch Studios'],['Valve'],5.0,2006.0,1.0
People Playground,"shoot, stab, burn, poison, tear, vaporise, or crush ragdolls in a large open space.","['sandbox', 'gore', 'physics', 'blood', 'moddable', 'violent', '2d', 'singleplayer', 'destruction', 'simulation', 'funny', 'building', 'pixel graphics', 'psychological horror', 'indie', 'action', 'casual', 'horror', 'comedy', 'choose your own adventure']",2019-07-23,['mestiez'],['Studio Minus'],5.0,2019.0,1.0
Cities: Skylines,cities: skylines is a modern take on the classic city simulation. the game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.,"['city builder', 'simulation', 'building', 'management', 'strategy', 'sandbox', 'singleplayer', 'moddable', 'economy', 'resource management', 'mod', 'realistic', 'replay value', 'casual', 'modern', 'real-time with pause', 'family friendly', 'great soundtrack', 'funny', 'action']",2015-03-10,['Colossal Order Ltd.'],['Paradox Interactive'],4.0,2015.0,0.8
Totally Accurate Battle Simulator,"be the leader of wobblers from ancient lands, spooky places, and fantasy worlds. watch them fight in simulations made with the wobbliest physics system ever created, make your own wobblers in the unit creator and send your army off to fight your friends in multiplayer.","['sandbox', 'simulation', 'funny', 'war', 'physics', 'strategy', 'singleplayer', 'realistic', 'indie', 'adventure', 'colorful', 'fantasy', '3d', 'comedy', 'action', 'historical', 'family friendly', 'cute', 'wargame', 'memes']",2021-04-01,['Landfall'],['Landfall'],5.0,2021.0,1.0
Kerbal Space Program,"in kerbal space program, take charge of the space program for the alien race known as the kerbals. you have access to an array of parts to assemble fully-functional spacecraft that flies (or doesn’t) based on realistic aerodynamic and orbital physics.","['space', 'simulation', 'sandbox', 'physics', 'science', 'space sim', 'building', 'moddable', 'indie', 'education', 'open world', 'singleplayer', 'exploration', 'funny', 'sci-fi', 'difficult', 'adventure', 'replay value', 'strategy', 'comedy']",2015-04-27,['Squad'],['Private Division'],5.0,2015.0,1.0
Oxygen Not Included,"oxygen not included is a space-colony simulation game. deep inside an alien space rock your industrious crew will need to master science, overcome strange new lifeforms, and harness incredible space tech to survive, and possibly, thrive.","['colony sim', 'base building', 'survival', 'resource management', 'building', 'singleplayer', 'management', '2d', 'simulation', 'sandbox', 'strategy', 'space', 'indie', 'sci-fi', 'exploration', 'difficult', 'open world', 'multiplayer', 'adventure', 'space sim']",2019-07-30,['Klei Entertainment'],['Klei Entertainment'],5.0,2019.0,1.0
Arma 3,"experience true combat gameplay in a massive military sandbox. deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the pc’s premier military game. authentic, diverse, open - arma 3 sends you to war.","['military', 'action', 'multiplayer', 'shooter', 'simulation', 'realistic', 'first-person', 'open world', 'tactical', 'fps', 'war', 'co-op', 'strategy', 'sandbox', 'singleplayer', 'moddable', 'combat', 'online co-op', 'team-based', 'third-person shooter']",2013-09-12,['Bohemia Interactive'],['Bohemia Interactive'],4.0,2013.0,0.8
"Papers, Please","congratulations. the october labor lottery is complete. your name was pulled. for immediate placement, report to the ministry of admission at grestin border checkpoint. an apartment will be provided for you and your family in east grestin. expect a class-8 dwelling.","['indie', 'political', 'simulation', 'singleplayer', 'point & click', 'pixel graphics', 'dystopian', 'multiple endings', 'puzzle', 'story rich', 'retro', 'atmospheric', '2d', 'great soundtrack', 'addictive', 'strategy', 'replay value', 'casual', 'difficult', 'adventure']",2013-08-08,['Lucas Pope'],['3909'],5.0,2013.0,1.0
Sid Meier’s Civilization® VI,"civilization vi is the newest installment in the award winning civilization franchise. expand your empire, advance your culture and go head-to-head against history’s greatest leaders. will your civilization stand the test of time?","['strategy', 'turn-based strategy', 'multiplayer', 'historical', 'singleplayer', 'grand strategy', 'turn-based', '4x', 'war', 'simulation', 'city builder', 'tactical', 'management', 'building', 'great soundtrack', 'moddable', 'online co-op', 'co-op', 'hex grid', 'atmospheric']",2016-10-20,"['Firaxis Games', 'Aspyr (Mac)', 'Aspyr (Linux)']","['2K', 'Aspyr (Mac)', 'Aspyr (Linux)']",4.0,2016.0,0.8
Teardown,prepare the perfect heist in this simulated and fully destructible voxel world. tear down walls with vehicles or explosives to create shortcuts. stack objects to reach higher. use the environment to your advantage in the most creative way you can think of.,"['destruction', 'physics', 'sandbox', 'voxel', 'first-person', 'singleplayer', 'heist', 'open world', 'realistic', '3d', 'simulation', 'action', 'puzzle', 'driving', 'indie', 'immersive sim', 'tactical', 'replay value', 'puzzle platformer', 'runner']",2022-04-21,['Tuxedo Labs'],"['Tuxedo Labs', 'Saber Interactive']",5.0,2022.0,1.0
Game Dev Tycoon,in game dev tycoon you replay the history of the gaming industry by starting your own video game development company in the 80s. create best selling games. research new technologies and invent new game types. become the leader of the market and gain worldwide fans.,"['management', 'simulation', 'indie', 'strategy', 'casual', 'singleplayer', 'economy', '2d', 'moddable', 'addictive', 'replay value', 'gamemaker', 'sandbox', 'funny', 'difficult', 'point & click', 'great soundtrack', 'isometric', 'comedy', 'touch-friendly']",2013-08-29,['Greenheart Games 💚'],['Greenheart Games 💚'],5.0,2013.0,1.0
CarX Drift Racing Online,"carx drift racing online is your chance to immerse yourself in the real world of drifting. get together with friends, tune your car and burn some tires!","['racing', 'driving', 'multiplayer', 'automobile sim', 'simulation', 'sports', 'open world', 'massively multiplayer', 'controller', 'vr', 'singleplayer', 'arcade', 'realistic', 'local multiplayer', 'co-op', 'mod', 'games workshop', 'casual', 'action', 'early access']",2017-11-17,"['CarX Technologies, LLC']","['CarX Technologies, LLC']",5.0,2017.0,1.0
Slime Rancher,"slime rancher is the tale of beatrix lebeau, a plucky, young rancher who sets out for a life a thousand light years away from earth on the ‘far, far range’ where she tries her hand at making a living wrangling slimes.","['cute', 'exploration', 'adventure', 'singleplayer', 'open world', 'first-person', 'colorful', 'funny', 'sandbox', 'simulation', 'casual', 'management', 'fantasy', 'family friendly', 'indie', 'great soundtrack', 'female protagonist', 'action', 'early access', 'fps']",2017-08-01,['Monomi Park'],['Monomi Park'],5.0,2017.0,1.0
Car Mechanic Simulator 2021,work your way to a service empire. get your hands dirty in a highly realistic simulation game that pays major attention to details. pay a visit to a new auction house and buy cars in various conditions. expand your range of services by investing in a new work space and equipment.,"['simulation', 'automobile sim', 'sandbox', 'realistic', 'moddable', 'racing', 'driving', '3d', 'education', 'singleplayer', 'first-person', 'immersive sim', 'puzzle', 'open world', 'atmospheric', 'adventure', 'minigames', 'indie', 'vr', 'strategy']",2021-08-11,['Red Dot Games'],['PlayWay S.A.'],5.0,2021.0,1.0
Tabletop Simulator,"tabletop simulator is the only simulator where you can let your aggression out by flipping the table! there are no rules to follow: just you, a physics sandbox, and your friends. make your own online board games or play the thousands of community created mods. unlimited gaming possibilities!","['tabletop', 'board game', 'simulation', 'multiplayer', 'sandbox', 'card game', 'vr', 'trading card game', 'physics', 'moddable', 'casual', '3d', 'strategy', 'online co-op', 'wargame', 'co-op', 'rpg', 'funny', 'first-person', 'indie']",2015-06-05,['Berserk Games'],['Berserk Games'],5.0,2015.0,1.0
PowerWash Simulator,"release the pressure with powerwash simulator! wash away your worries with the soothing sounds of high-pressure water. fire up your power washer and blast away every speck of dirt and grime you can find, all with the simple satisfaction of power-washing to a sparkling finish.","['casual', 'relaxing', 'simulation', 'first-person', 'multiplayer', '3d', 'sandbox', 'funny', 'immersive sim', 'co-op', 'online co-op', 'family friendly', 'story rich', 'colorful', 'realistic', 'wholesome', 'singleplayer', 'indie', 'cozy', 'atmospheric']",2022-07-14,['FuturLab'],['Square Enix'],5.0,2022.0,1.0
Aimlabs,"aimlabs is the aim trainer of choice for over 30 million players, from beginners to esports pros. our unique aim analysis optimizes your gameplay, targets your weaknesses & builds key skills for any fps game! time to warm up with our unlimited scenarios & rank up in-game!","['free to play', 'fps', 'shooter', 'simulation', 'multiplayer', 'first-person', 'singleplayer', 'action', 'esports', 'competitive', 'indie', 'casual', 'sniper', 'fast-paced', 'early access', 'difficult', 'score attack', 'tactical', 'adventure', 'third-person shooter']",2023-06-16,"['State Space Labs, Inc.']","['State Space Labs, Inc.']",4.0,2023.0,0.8
My Summer Car,"my summer car is the ultimate car owning, building, fixing, tuning, maintenance and permadeath life survival simulator. you start the game with hundreds of loose parts and assemble both car and engine.","['automobile sim', 'simulation', 'driving', 'open world', 'survival', 'realistic', 'first-person', 'building', 'racing', 'singleplayer', 'funny', 'early access', 'sandbox', 'difficult', 'perma death', 'comedy', 'indie', 'adventure', 'multiplayer', 'puzzle']",2016-10-24,['Amistech Games'],['Amistech Games'],4.0,2016.0,0.8
House Flipper,"house flipper is a unique chance to become a one-man renovation crew. buy, repair and remodel devastated houses. give them a second life and sell them at a profit!","['simulation', 'design & illustration', 'building', 'singleplayer', 'relaxing', 'sandbox', 'casual', 'immersive sim', 'education', 'management', 'first-person', 'economy', 'family friendly', 'base building', 'replay value', '3d', 'realistic', 'multiplayer', 'indie', 'moddable']",2018-05-17,['Empyrean'],"['Frozen District', 'PlayWay S.A.']",4.0,2018.0,0.8
Plague Inc: Evolved,"plague inc: evolved is a unique mix of high strategy and terrifyingly realistic simulation. your pathogen has just infected 'patient zero' - now you must bring about the end of human history by evolving a deadly, global plague whilst adapting against everything humanity can do to defend itself.","['strategy', 'simulation', 'outbreak sim', 'indie', 'singleplayer', 'multiplayer', 'zombies', 'casual', 'tactical', 'replay value', 'post-apocalyptic', 'addictive', 'realistic', '2d', 'difficult', 'atmospheric', 'co-op', 'sandbox', 'early access', 'survival']",2016-02-18,['Ndemic Creations'],['Ndemic Creations'],4.0,2016.0,0.8
Age of Mythology: Retold,"from the creators of the award-winning age of empires franchise, age of mythology: retold goes beyond history to a mythical age where gods, monsters, and humans collide.","['strategy', 'rts', 'mythology', 'action rts', 'base building', 'fantasy', 'top-down', 'magic', 'multiplayer', 'level editor', 'resource management', 'moddable', 'pvp', 'pve', 'story rich', 'co-op', 'singleplayer', 'tutorial', 'online co-op', '3d']",2024-09-04,"[""World's Edge"", 'Forgotten Empires', 'Tantalus Media', 'CaptureAge', 'Virtuos Games']",['Xbox Game Studios'],4.0,2024.0,0.8
Magic: The Gathering Arena,"magic: the gathering arena empowers you to discover your strategy, meet the planeswalkers, explore the multiverse, and battle friends around the world. start playing for free, challenge your friends, unlock cards, and feel the magic of the original fantasy ccg!","['strategy', 'card game', 'trading card game', 'free to play', 'deckbuilding', 'pvp', 'turn-based strategy', 'esports', 'multiplayer', 'fantasy', 'magic', 'tactical', 'gambling', 'lgbtq+']",2023-05-23,['Wizards of the Coast LLC'],['Wizards of the Coast LLC'],2.0,2023.0,0.4
Total War: WARHAMMER II,"strategy gaming perfected. a breath-taking campaign of exploration, expansion and conquest across a fantasy world. turn-based civilisation management and real-time epic strategy battles with thousands of troops and monsters at your command.","['strategy', 'fantasy', 'turn-based strategy', 'rts', 'grand strategy', 'war', 'multiplayer', 'games workshop', 'action', 'turn-based', 'singleplayer', 'dark fantasy', 'co-op', 'tactical', 'real time tactics', 'story rich', 'atmospheric', 'dwarf', 'dinosaurs', 'great soundtrack']",2017-09-28,"['CREATIVE ASSEMBLY', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']","['SEGA', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']",4.0,2017.0,0.8
Total War: WARHAMMER,"addictive turn-based empire-building with colossal, real-time battles, all set in a world of legendary heroes, giant monsters, flying creatures and storms of magical power.","['strategy', 'fantasy', 'rts', 'war', 'turn-based strategy', 'games workshop', 'grand strategy', 'multiplayer', 'tactical', 'dark fantasy', 'action', 'singleplayer', 'turn-based', 'atmospheric', 'dwarf', 'co-op', 'story rich', 'open world', 'rpg', 'gore']",2016-05-24,"['CREATIVE ASSEMBLY', 'Feral Interactive (Linux)', 'Feral Interactive (Mac)']","['SEGA', 'Feral Interactive (Linux)', 'Feral Interactive (Mac)']",3.0,2016.0,0.6000000000000001
Total War: WARHAMMER III - Shadows of Change,total war: warhammer iii,"['strategy', 'action', 'dark fantasy', 'grand strategy', 'fantasy', 'rts', 'turn-based strategy', 'psychological horror', 'real time tactics', 'atmospheric', 'singleplayer', 'online co-op', 'tactical', 'war', 'co-op', 'multiplayer', 'pvp', 'colorful', 'story rich']",2023-08-31,"['CREATIVE ASSEMBLY', 'Feral Interactive']","['SEGA', 'Feral Interactive']",1.0,2023.0,0.2
Total War: THREE KINGDOMS,"total war: three kingdoms is the first in the award-winning series to recreate epic conflict across ancient china. combining a gripping turn-based campaign of empire-building & conquest with stunning real-time battles, three kingdoms redefines the series in an age of heroes & legends.","['strategy', 'historical', 'war', 'turn-based strategy', 'grand strategy', 'rts', 'military', 'multiplayer', 'tactical', 'singleplayer', 'real time tactics', 'action', 'turn-based', 'great soundtrack', 'co-op', 'simulation', 'sandbox', 'violent', 'fantasy', 'destruction']",2019-05-23,"['CREATIVE ASSEMBLY', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']","['SEGA', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']",4.0,2019.0,0.8
Total War: PHARAOH,"in total war: pharaoh, the newest entry in the award-winning grand strategy series, immerse yourself in ancient egypt at the zenith of its power and experience the dramatic events that threaten its destruction.","['strategy', 'rts', 'grand strategy', 'action', 'tactical', 'war', 'multiplayer', 'atmospheric', 'singleplayer', 'turn-based strategy', 'pvp', 'historical', '4x', 'capitalism', 'rome', 'management', 'psychological horror', 'sexual content', 'nudity', 'nsfw']",2023-10-11,['CREATIVE ASSEMBLY'],['SEGA'],2.0,2023.0,0.4
Inscryption,"inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. darker still are the secrets inscrybed upon the cards...","['card battler', 'card game', 'story rich', 'deckbuilding', 'horror', 'dark', 'puzzle', 'strategy', 'roguelite', 'psychological', 'roguelike', 'surreal', 'experimental', 'first-person', 'point & click', '3d', '2d', 'fmv', 'pixel graphics', 'adventure']",2021-10-19,['Daniel Mullins Games'],['Devolver Digital'],5.0,2021.0,1.0
Two Point Hospital,"design stunning hospitals, cure peculiar illnesses and manage troublesome staff as you spread your budding healthcare organisation across two point county.","['simulation', 'medical sim', 'management', 'building', 'funny', 'singleplayer', 'strategy', 'sandbox', 'indie', 'comedy', 'casual', 'city builder', 'replay value', 'cartoony', 'multiplayer', 'isometric', 'family friendly', 'classic', 'retro', 'tactical']",2018-08-29,['Two Point Studios'],['SEGA'],4.0,2018.0,0.8
Company of Heroes 3,"company of heroes 3 combines heart-pounding combat with deeper strategic choices in a stunning mediterranean theatre of war. in company of heroes 3, every battle tells a story...what's yours?","['strategy', 'wargame', 'rts', 'action rts', 'real time tactics', 'world war ii', 'pvp', 'turn-based tactics', 'historical', 'military', 'top-down', 'turn-based strategy', 'action', 'choices matter', 'tactical', 'turn-based combat', 'war', 'singleplayer', 'multiplayer', 'cinematic']",2023-02-23,['Relic Entertainment'],['SEGA'],2.0,2023.0,0.4
Total War: ROME II - Emperor Edition,"emperor edition is the definitive edition of rome ii, featuring an improved politics system, overhauled building chains, rebalanced battles and improved visuals in both campaign and battleemperor edition contains all free feature updates since its release in 2013, which includes bug fixes, balancing, twitch.","['strategy', 'historical', 'turn-based strategy', 'grand strategy', 'rome', 'tactical', 'multiplayer', 'war', 'real time tactics', 'rts', 'turn-based', 'singleplayer', 'online co-op', 'simulation', 'turn-based tactics', 'co-op', 'moddable', 'action', 'atmospheric', 'education']",2013-09-02,['CREATIVE ASSEMBLY'],['SEGA'],4.0,2013.0,0.8
Bloons TD 6,the bloons are back and better than ever! get ready for a massive 3d tower defense game designed to give you hours and hours of the best strategy gaming available.,"['tower defense', 'strategy', 'multiplayer', 'singleplayer', 'online co-op', 'co-op', 'family friendly', 'casual', '3d', 'cartoony', 'sandbox', 'great soundtrack', 'difficult', 'funny', 'cute', 'survival', 'action', 'indie', '2d', 'adventure']",2018-12-17,['Ninja Kiwi'],['Ninja Kiwi'],5.0,2018.0,1.0
Manor Lords,"manor lords is a medieval strategy game featuring in-depth city building, large-scale tactical battles, and complex economic and social simulations. rule your lands as a medieval lord – the seasons pass, the weather changes, and cities rise and fall.","['strategy', 'city builder', 'simulation', 'base building', 'grand strategy', 'management', 'building', 'resource management', 'sandbox', 'colony sim', 'historical', 'survival', 'open world', 'moddable', 'singleplayer', 'medieval', 'rts', 'early access', 'replay value', 'economy']",2024-04-26,['Slavic Magic'],['Hooded Horse'],4.0,2024.0,0.8
Transport Fever 2,"the classic transport simulation genre has a new gold standard with transport fever 2. discover a whole new world by navigating transport routes through land, water and air. may progress and prosperity find their way!","['simulation', 'strategy', 'management', 'transportation', 'city builder', 'trains', 'economy', 'sandbox', 'building', 'singleplayer', 'realistic', 'moddable', 'open world', 'resource management', 'flight', 'casual', 'indie', 'games workshop', 'naval', 'mod']",2019-12-11,['Urban Games'],['Good Shepherd Entertainment'],4.0,2019.0,0.8
"Warhammer 40,000: Rogue Trader","made in a close partnership with games workshop, warhammer 40,000: rogue trader is a story-rich classical rpg from owlcat games, developers of the critically acclaimed game, pathfinder: wrath of the righteous.","['cinematic', 'online co-op', 'multiplayer', 'turn-based strategy', 'strategy rpg', 'collectathon', 'dungeon crawler', 'space', 'atmospheric', 'multiple endings', 'tactical rpg', 'mystery', 'sci-fi', 'tactical', 'dark humor', 'rpg', 'character customization', 'choices matter', 'combat', 'exploration']",2023-12-07,['Owlcat Games'],['Owlcat Games'],3.0,2023.0,0.6000000000000001
Stolen Realm,"stolen realm is a simultaneous turn-based tactical dungeon crawling looter with action rpg elements where you control up to 6 heroes, solo or through online co-op, venturing forth in adventures set in a high-fantasy, low-poly world.","['turn-based tactics', 'party-based rpg', 'tactical rpg', 'crpg', 'turn-based strategy', 'rpg', 'character customization', 'online co-op', 'strategy', 'turn-based combat', 'multiplayer', 'loot', 'top-down', 'tactical', 'local co-op', 'adventure', 'board game', 'class-based', 'tabletop', 'singleplayer']",2024-03-08,['Burst2Flame Entertainment'],['Burst2Flame Entertainment'],4.0,2024.0,0.8
Sins of a Solar Empire II,"battle for galactic dominance in this real-time 4x strategy game with unrivaled scale! you’ll explore, expand, exploit, and exterminate through military force, diplomacy, trade, culture, influence, and other underhanded tactics.","['strategy', 'space', '4x', 'rts', 'sci-fi', 'singleplayer', 'multiplayer', 'tactical', 'story rich', 'co-op', 'pve', 'pvp', 'immersive sim', 'real-time', '3d', 'base building', 'tutorial', 'competitive', 'choices matter', 'isometric']",2024-08-15,"['Ironclad Games Corporation', 'Stardock Entertainment']",['Stardock Entertainment'],4.0,2024.0,0.8
Summoners War,"a global hit rpg that captured the summoners all around the world! jump into the sky arena, a world under battle over the vital resource: mana crystals. design your own deck and strategy using over 1,500 monsters to claim victory. go on an epic adventure with your monsters!","['free to play', 'rpg', 'strategy', 'rts', 'strategy rpg', 'turn-based strategy', 'tactical rpg', 'turn-based tactics', 'pvp', 'real time tactics', 'pve', 'tutorial', 'turn-based combat', 'lore-rich', 'fantasy', 'colorful', 'anime', 'cinematic', 'multiplayer', 'party-based rpg']",2024-01-07,['Com2uS'],['Com2uS'],3.0,2024.0,0.6000000000000001
Frostpunk,"frostpunk is the first society survival game. as the ruler of the last city on earth, it is your duty to manage both its citizens and infrastructure. what decisions will you make to ensure your society's survival? what will you do when pushed to breaking point? who will you become in the process?","['city builder', 'survival', 'resource management', 'strategy', 'post-apocalyptic', 'steampunk', 'colony sim', 'building', 'base building', 'singleplayer', 'simulation', 'management', 'choices matter', 'atmospheric', 'economy', 'dark', 'difficult', 'rts', 'great soundtrack', 'real-time with pause']",2018-04-24,['11 bit studios'],['11 bit studios'],4.0,2018.0,0.8
Age of Empires IV: Anniversary Edition,"celebrating its first year of delighting millions of global players, the award-winning and best-selling strategy franchise continues with age of empires iv: anniversary edition, putting you at the center of even more epic historical battles that shaped the world.","['strategy', 'rts', 'base building', 'war', 'multiplayer', 'singleplayer', 'medieval', 'resource management', 'city builder', 'historical', 'action rts', 'pvp', 'pve', 'co-op', '3d', 'isometric', 'management', 'open world', 'online co-op', 'mature']",2021-10-28,"['Relic Entertainment', 'Forgotten Empires', 'Climax Studios', ""World's Edge""]",['Xbox Game Studios'],4.0,2021.0,0.8
Europa Universalis IV,"europa universalis iv gives you control of a nation through four dramatic centuries. rule your land and dominate the world with unparalleled freedom, depth and historical accuracy. write a new history of the world and build an empire for the ages.","['grand strategy', 'strategy', 'historical', 'simulation', '4x', 'alternate history', 'diplomacy', 'military', 'wargame', 'economy', 'replay value', 'sandbox', 'political', 'real-time with pause', 'moddable', 'nonlinear', 'co-op', 'management', 'singleplayer', 'multiplayer']",2013-08-13,"['Paradox Development Studio', 'Paradox Tinto']",['Paradox Interactive'],4.0,2013.0,0.8
Balatro,"the poker roguelike. balatro is a hypnotically satisfying deckbuilder where you play illegal poker hands, discover game-changing jokers, and trigger adrenaline-pumping, outrageous combos.","['roguelike deckbuilder', 'card game', 'roguelike', 'deckbuilding', 'singleplayer', 'strategy', 'card battler', 'turn-based', 'replay value', 'pixel graphics', 'choices matter', 'roguelite', 'casual', 'turn-based strategy', 'difficult', '2d', 'arcade', 'simulation', 'relaxing', 'procedural generation']",2024-02-20,['LocalThunk'],['Playstack'],5.0,2024.0,1.0
Age of Empires II: Definitive Edition,"age of empires ii: definitive edition features “the last khans” with 3 new campaigns and 4 new civilizations. frequent updates include events, additional content, new game modes, and enhanced features with the recent addition of co-op mode!","['strategy', 'rts', 'city builder', 'multiplayer', 'base building', 'historical', 'singleplayer', 'medieval', 'resource management', 'classic', 'tactical', 'real-time', 'co-op', 'remake', 'isometric', '2d', 'replay value', 'action', 'great soundtrack', 'adventure']",2019-11-14,"['Forgotten Empires', 'Tantalus Media', 'Wicked Witch', ""World's Edge""]",['Xbox Game Studios'],4.0,2019.0,0.8
MARVEL SNAP,"marvel snap is a fast-paced collectible card game that reimagines the genre with innovative mechanics. winner of multiple awards like 'best strategy game' and 'breakthrough game of the year,' we invite you to join millions of players worldwide – jump right in!","['free to play', 'card battler', 'strategy', 'card game', 'multiplayer', 'turn-based tactics', 'pvp', 'casual', 'superhero', 'deckbuilding', 'comic book', 'stylized', 'trading card game', 'early access', 'co-op', 'mouse only']",2023-08-22,"['Second Dinner Studios, Inc.']",['Nuverse'],4.0,2023.0,0.8
Tactical Breach Wizards,"in tactical breach wizards, you lead a team of renegade wizards in kevlar through turn-based battles to unravel a modern conspiracy plot. combine their unique spells in clever ways, or rewind time to try every crazy plan you can think of to punch a traffic warlock through a 4th story window.","['turn-based tactics', 'puzzle', 'story rich', 'turn-based strategy', 'turn-based', 'funny', 'singleplayer', 'strategy rpg', 'tactical', 'tactical rpg', 'rpg', 'adventure', 'military', 'indie', 'mystery', 'isometric', 'comedy', 'fantasy', 'strategy', 'satire']",2024-08-22,['Suspicious Developments Inc'],['Suspicious Developments'],5.0,2024.0,1.0
Total War: MEDIEVAL II – Definitive Edition,"spanning the most turbulent era in western history, your quest for territory and power takes you through europe, africa, the middle east, and even onto the shores of the new world.","['strategy', 'medieval', 'historical', 'turn-based strategy', 'grand strategy', 'war', 'rts', 'tactical', 'singleplayer', 'multiplayer', 'moddable', 'military', 'turn-based', 'real time tactics', 'classic', 'simulation', 'action', 'sandbox', 'great soundtrack', '4x']",2006-11-15,"['CREATIVE ASSEMBLY', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']","['SEGA', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']",5.0,2006.0,1.0
Sid Meier's Civilization® V,"create, discover, and download new player-created maps, scenarios, interfaces, and more!","['turn-based strategy', 'strategy', 'turn-based', 'multiplayer', 'historical', '4x', 'addictive', 'singleplayer', 'hex grid', 'grand strategy', 'replay value', 'co-op', 'economy', 'tactical', 'diplomacy', 'moddable', 'simulation', 'classic', 'great soundtrack', 'touch-friendly']",2010-09-23,"['Firaxis Games', 'Aspyr (Mac)', 'Aspyr (Linux)']","['2K', 'Aspyr (Mac)', 'Aspyr (Linux)']",5.0,2010.0,1.0
Plants vs. Zombies GOTY Edition,"zombies are invading your home, and the only defense is your arsenal of plants! armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs, you'll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks.","['tower defense', 'zombies', 'strategy', 'singleplayer', 'casual', 'classic', '2d', 'comedy', 'great soundtrack', 'family friendly', 'funny', 'puzzle', 'addictive', 'cute', 'survival', 'indie', 'tactical', 'adventure', 'touch-friendly', 'post-apocalyptic']",2009-05-05,"['PopCap Games, Inc.']","['PopCap Games, Inc.', 'Electronic Arts']",5.0,2009.0,1.0
Age of Empires II (Retired),"age of empires ii has been re-imagined in high definition. with the release of age of empires ii: definitive edition, this product will not be updated further.","['strategy', 'rts', 'medieval', 'multiplayer', 'classic', 'historical', 'base building', 'city builder', 'resource management', 'singleplayer', 'tactical', 'real-time', 'co-op', 'competitive', 'replay value', 'remake', '2d', 'isometric', 'action', 'adventure']",2013-04-09,"['Skybox Labs', 'Hidden Path Entertainment', 'Ensemble Studios', 'Forgotten Empires']",['Xbox Game Studios'],5.0,2013.0,1.0
Ultimate General: Civil War,ultimate general: civil war is a tactical real time strategy war-game. experience the bloodiest period of u.s. history - the american civil war of 1861-1865.,"['wargame', 'real time tactics', 'war', 'america', 'tabletop', 'rts', 'grand strategy', 'strategy', 'historical', 'board game', 'strategy rpg', 'education', 'turn-based strategy', 'tactical', 'military', 'combat', 'simulation', 'singleplayer', 'multiplayer', 'indie']",2017-07-14,['Game-Labs'],['Game-Labs'],4.0,2017.0,0.8
Dune: Imperium,the award-winning board game of strategy and intrigue in the iconic universe of dune. the spice must flow.,"['board game', 'strategy', 'deckbuilding', 'sci-fi', 'simulation', 'card game', 'grand strategy', 'tabletop', 'space sim', 'top-down', 'dystopian', 'economy', 'fantasy', 'futuristic', 'lore-rich', 'military', 'political', 'space', 'choices matter', 'combat']",2024-03-13,['Dire Wolf'],['Dire Wolf'],5.0,2024.0,1.0
STAR WARS™ Empire at War - Gold Pack,"command or corrupt an entire galaxy in the definitive star wars strategy collection. it is a time of galactic civil war. will you take up the reins of the rebellion, assume control of the empire, or rule the star wars underworld?","['strategy', 'rts', 'space', 'sci-fi', 'multiplayer', 'singleplayer', 'moddable', 'mod', 'tactical', 'war', 'action', 'classic', 'great soundtrack', 'grand strategy', 'simulation', '4x', 'co-op', 'adventure', 'atmospheric', 'epic']",2006-02-16,['Petroglyph'],"['LucasArts', 'Lucasfilm', 'Disney']",5.0,2006.0,1.0
